,Order ID,Amount,Profit,Quantity,Category,Sub-Category,Payment Mode,Order Date,Customer Name,State,year,Month,Quarter,Year
0,OD1000,50000.0,296.4266502330709,2,Electronics,Accessories,,2026-01-19 23:00:07,Customer_33,Delhi,,1,1,2026
1,OD1001,-100.0,148.43790233210945,1,Clothing,T-shirts,,2025-12-19 00:14:34,Customer_45,Delhi,,12,4,2025
2,OD1002,99999.0,200.2168115005902,4,Electronics,Accessories,,2026-02-01 16:25:17,Customer_15,Tamil Nadu,,2,1,2026
3,OD1003,4881.577690711009,1113.8331818946067,5,Clothing,Jeans,UPI,2026-02-08 02:41:08,Customer_39,Gujarat,,2,1,2026
4,OD1004,964.3568077135892,-89.4067441249421,4,Electronics,Phones,UPI,2025-12-28 02:53:54,Customer_15,Maharashtra,,12,4,2025
5,OD1005,2108.5182731238115,76.43342428373131,2,Furniture,Chairs,COD,2026-01-05 10:26:50,Customer_26,Gujarat,,1,1,2026
6,OD1006,1961.0399709836752,,2,Furniture,Chairs,COD,2026-01-21 11:13:46,Customer_2,Tamil Nadu,,1,1,2026
7,OD1007,5754.303261486008,1281.6783825097311,5,Electronics,Laptops,Debit Card,2025-12-26 01:36:07,Customer_21,Gujarat,,12,4,2025
8,OD1008,2170.1780185323814,,5,Furniture,Chairs,COD,2026-01-25 19:08:14,Customer_28,Maharashtra,,1,1,2026
9,OD1009,807.353321427,186.161939969391,1,Furniture,Chairs,COD,2026-02-08 23:57:48,Customer_41,Karnataka,,2,1,2026
10,OD1010,1286.0004017338256,53.963246831608885,1,Electronics,Phones,Debit Card,2026-02-03 21:57:44,Customer_47,Gujarat,,2,1,2026
11,OD1011,1141.9290308093675,,5,Clothing,T-shirts,Credit Card,2025-12-28 03:08:55,Customer_47,Maharashtra,,12,4,2025
12,OD1012,3960.9421329180705,-304.8994462244285,5,Clothing,Shirts,UPI,2026-02-05 05:43:47,Customer_35,Karnataka,,2,1,2026
13,OD1013,3264.4922322905168,938.4134755296174,3,Clothing,Shirts,UPI,2026-01-14 00:05:20,Customer_32,Gujarat,,1,1,2026
14,OD1014,2058.0349229972135,120.72564733413468,5,Electronics,Phones,UPI,2026-01-13 18:43:13,Customer_8,Tamil Nadu,,1,1,2026
15,OD1015,2741.4827523524855,672.3634731342997,3,Electronics,Laptops,Credit Card,2026-01-12 09:17:00,Customer_15,Maharashtra,,1,1,2026
16,OD1016,867.6040135125451,182.94191198776173,4,Electronics,Laptops,Debit Card,2025-12-20 11:32:12,Customer_45,Delhi,,12,4,2025
17,OD1017,1365.4651302671828,84.76921505789053,3,Furniture,Bookcases,UPI,2026-01-30 13:09:47,Customer_42,Gujarat,,1,1,2026
18,OD1018,1141.8963197206172,196.88093418257748,1,Electronics,Accessories,UPI,2025-12-18 08:42:01,Customer_8,Gujarat,,12,4,2025
19,OD1019,413.03417392723367,117.8341129616547,1,Electronics,Phones,COD,2026-01-16 00:49:40,Customer_15,Tamil Nadu,,1,1,2026
20,OD1020,803.8054830872093,216.9128031847765,5,Electronics,Accessories,Credit Card,2026-01-10 07:50:23,Customer_32,Karnataka,,1,1,2026
